ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,defer_count,last_defer_date,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
MA,2022-03-10,2022-03-23,313.88823717362004,334.81149804724225,0.0667,13,📉 바닥반등,★★★★★ (7.5),0.5718,Financial Services,"시간익절(12일,+8.6%)",7.964618306538141,166.65,0,,0.0549,0.0296,0.0627,36.213362534072694,31.58100563225994,-5.386415104127897,0.1598392752860059,0.04286322651128497,-0.6441061698806599,-1.2961670077601528,-0.13861932682335784,0.2448666988151006,-0.04638317366111577,-0.12351432392562611,-0.021249021804428513,-0.008307434216395876,,2,-0.991717392055455,-0.47708403470126337,-0.2880949661058466,-0.5357627198905575,-0.991717392055455,0.7645643257845804,7.5,4.0,6.0,,Financial Services,,-0.08867035481387842,bear,-0.08911913837647531,0.75,0.7,0.451,0.5,0.27,0.0
AXP,2022-03-14,2022-03-29,162.47708214776327,182.39196714260717,0.1226,15,📉 바닥반등,★★★★★ (6.0),0.4821,Financial Services,"시간익절(14일,+10.7%)",15.386785428152866,306.43,0,,-0.036,-0.0847,-0.0738,39.52730987938313,27.965929996179376,-2.7749705339586095,0.19504961440668184,0.04181347644053126,-1.096174564310095,-0.45634570126472596,-0.13545542411312828,0.3802051978034059,-0.02919930834954132,-0.14122042384265765,-0.0012466147508421793,0.047492602400341935,,3,-0.9889779736670816,-0.3549681414123435,0.07920330404659817,-0.4284266312917312,-0.9889779736670816,0.6775629149289542,6.0,1.0,8.0,,Financial Services,,0.007786984731549873,bear,-0.01078464048501186,0.6,0.7,0.466,0.5,0.21,0.05
PM,2022-03-21,2022-04-11,77.44112944232533,83.7434578795671,0.0814,21,📉 바닥반등,★★★★★ (6.5),0.4851,Consumer Defensive,"시간익절(18일,+7.3%)",0.0,0.0,0,,0.0169,0.0187,-0.0198,39.95297858749084,43.01680692243935,-0.40960501918069214,0.3281708927716345,0.027653862406665536,0.45552264269034215,0.6091362217977909,-0.2147116204707426,0.3361511572980633,0.05659932387836353,-0.16085798316368738,-0.02047217573560387,0.022919965494667377,,3,-0.9888944026259426,-0.4361799006153495,0.21117385526493443,-0.15631823018909802,-0.9888944026259426,0.5544908101203533,6.5,4.0,6.0,,Consumer Defensive,,-0.18297205752923232,neutral,-0.028607398103029112,0.65,0.7,0.464,0.35,0.17,0.0
BAC,2022-04-19,2022-04-22,35.39136437927701,35.12057876586914,-0.0077,3,📉 바닥반등,★★★★★ (6.0),0.5558,Financial Services,교체→NEM,103.09618263889672,-27.92,0,,-0.083,-0.0375,-0.1298,36.99655166002229,23.376948402126345,-0.20492905324811905,0.21232461718909562,0.032354875147166735,2.2436372055964884,-1.2904209402631068,-0.22775288747853314,0.19308298227246168,-0.020670590325911453,-0.09440572805529446,-0.04137161108310129,-0.017183399753069463,,3,-0.7790248111350961,-0.6812108202209601,-0.3887681817813533,-0.38684780822166,-0.8651779763728784,0.7195938750401676,6.0,1.0,8.0,,Financial Services,,-0.024329761777710374,bear,-0.09533518950287531,0.6,0.8,0.453,0.5,0.21,0.0
GM,2022-04-11,2022-04-27,37.3566785523327,36.85615198193563,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4853,Consumer Cyclical,트레일링(-9.6%),48.836174778951886,-24.44,0,,0.0752,-0.0266,-0.0603,35.32369603789516,25.628000646870323,-0.32589530058618843,0.04381528480380322,0.043739586384073166,1.0059826803086014,-1.874654116699203,-0.11339146767415119,0.023316018098273248,-0.08403155834042975,-0.05203553294064456,-0.06997477822426441,-0.12610414169498796,,3,-0.8279183311788523,-0.7075348465514609,-0.4629035517979564,-0.4363101907677775,-0.9191475131037701,0.8227718843401131,6.5,2.0,6.0,,Consumer Cyclical,,-0.10369863117991693,bull,-0.25116375657025497,0.65,0.95,0.458,0.15,0.17,0.0
NEM,2022-04-22,2022-05-10,63.4101803595455,62.057046292891236,-0.0213,18,📈 모멘텀,★★★★★ (9.0),0.6768,Basic Materials,트레일링(-7.5%),57.10120334462577,-77.27,0,,-0.0604,-0.0099,-0.0286,44.3143364391274,34.35747282764682,-0.5662066061894904,0.06823998502913357,0.035344616777534706,3.879201679300109,-1.94964084513241,-0.08257755749411103,0.746998641971082,-0.08588407883420057,-0.023444996499020432,0.0666034868900081,0.1496779783733456,,3,-0.6364224220767046,0.34273791744082927,0.46509330167811014,-0.2606617157368972,-0.9316818413494516,0.6011238952614953,8.0,9.0,6.0,,Basic Materials,,0.03564839911669354,bear,0.17432681059658403,0.9,0.65,0.538,0.75,0.37,0.0
HCA,2022-04-28,2022-05-12,205.86493940424828,200.56799449770074,-0.0257,14,📉 바닥반등,★★★★★ (6.0),0.4857,Healthcare,트레일링(-7.8%),8.743176400402055,-46.31,0,,-0.0211,0.0207,-0.052,29.815744700211326,23.14189349486976,-5.577234911020603,0.03676746631552986,0.050125111067001335,0.2074629163860452,-1.8898841471894625,-0.25082163634744736,0.16930475134474282,-0.228703196290447,-0.19503150135890268,-0.02154090859068645,0.030567662185594546,2.209529898070475,2,-0.8995113457453703,-0.6867547217395717,-0.23339984932805008,-0.6038749016227647,-0.9993705727231518,0.8909218091047862,6.0,0.0,6.0,,Healthcare,,-0.13066154402553795,bear,-0.12431994368167511,0.6,0.75,0.462,0.35,0.12,0.0
FCX,2022-05-10,2022-05-19,34.564724156262685,33.621110616233906,-0.0273,9,📉 바닥반등,★★★★★ (6.0),0.5886,Basic Materials,트레일링(-6.1%),102.51874145783383,-96.74,0,,0.0803,0.16,-0.0508,25.514474400824056,30.316043586021504,-0.6943911282393633,0.05624779882622592,0.060328172675276695,1.5281796978918938,-1.8678063179300928,-0.24493226094893109,0.24595124078147432,-0.11597818549732386,-0.2723844011437324,-0.04434671258243172,0.0650114909084791,1.4590820842863852,3,-0.5959507205259686,-0.6082194618718604,0.10146174185773024,-0.4998601284808349,-0.910471405046708,0.9151098703632385,6.0,2.0,5.5,,Basic Materials,,-0.05582204499531518,bear,-0.14778670020453846,0.6,0.85,0.506,0.6,0.11,0.0
DIS,2022-05-12,2022-05-25,100.53251695289498,99.09634877661634,-0.0143,13,📉 바닥반등,★★★★★ (6.0),0.5244,Communication Services,트레일링(-6.5%),17.44312595883703,-25.05,0,,0.0931,0.0184,-0.036,25.356719414752618,42.097001667337246,-0.5790074013144242,0.11616033293040431,0.03851191355526775,1.6296064607622995,-1.4742795483717002,-0.2765913581446667,0.0,-0.09450046871845363,-0.1958880064267805,-0.0806244600749906,-0.14964279728221852,1.7127791937731127,3,-0.7538573812292766,-0.9181996599854017,-0.24509348583357699,-0.4600238289787224,-0.9828766567585895,0.8956852725487651,6.0,2.0,5.5,,Communication Services,,-0.10625271759978051,bear,-0.2945656153512111,0.6,0.85,0.464,0.4,0.11,0.0
PANW,2022-05-20,2022-06-08,81.33999633789062,87.58499908447266,0.0768,19,📉 바닥반등,★★★★★ (6.0),0.5868,Technology,"시간익절(18일,+8.0%)",42.37514263552155,264.63,0,,-0.0732,-0.0427,-0.0025,29.600450947001633,48.055940762167594,-1.3052149638037012,0.10964076871795272,0.06903841069472631,2.818779503735174,-1.8686925053286727,-0.14833891160792537,0.3067510919001624,-0.08806500586901056,-0.26288850276247233,-0.0617189863689709,0.058284021369004624,2.3424145787740547,3,-0.6436771193105629,-0.7331183002004587,0.08042922302458022,-0.37420312386730004,-0.9997404115711797,0.8699263477465129,6.0,2.0,5.5,,Technology,,-0.15899920882706042,bear,-0.14752679412464897,0.6,0.85,0.488,0.6,0.11,0.0
