ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
SLB,2022-03-18,2022-03-29,35.95700079457097,36.90490866662757,0.0264,11,📈 모멘텀,★★★★★ (8.0),0.5092,Unknown,"시간익절(10일,+5.8%)",46.351659755735554,43.94,-0.0007,0.0257,-0.0133,48.82902973488175,25.026298312902775,-0.3351788114017087,0.39791470263854956,0.053933312660960145,1.9887019123963892,0.027383923281178727,0.11753107450683681,0.7245961752860258,-0.08963135567027658,-0.05229060587564449,0.04640845087770155,0.14949208469314804,,4,-0.3901538483337578,0.2843567497108782,0.31865652709354053,0.37970603438134,-0.9327424228297294,0.1903276125939413,6.25,8.0,6.0,,Unknown,,-0.04894679642640784,neutral,0.18059141499731168,0.8,0.7,0.594,0.05,0.27,0.0
QCOM,2022-04-04,2022-04-07,134.79837760818012,127.54475861412818,-0.0538,3,📉 바닥반등,★★★★★ (6.5),0.4848,Unknown,트레일링(-9.4%),12.472793794365034,-90.47,-0.0206,-0.0499,0.0057,39.71731952176978,23.774454364572286,0.23623240431134507,0.18361022340484584,0.04631272165258586,2.2838536455405447,0.6132129426917108,0.09021703104640427,0.3760308469639797,-0.06950680573864587,-0.09410811148983866,-0.03385162021109981,0.028714990325054954,2.013547230186479,4,-0.7565798156324754,-0.49922140530503056,-0.004709899053162117,0.4677243514730978,-0.9976772336516754,0.6799205156532576,6.5,1.75,8.0,,Unknown,,-0.13641346469267393,bull,-0.06197406041926416,0.65,0.95,0.521,0.05,0.21,0.0
GM,2022-04-11,2022-04-27,37.35668222325756,36.85615198193563,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4612,Unknown,트레일링(-9.6%),44.19971577049133,-22.12,0.0752,-0.0266,-0.0603,35.323644284516476,25.627936997515494,-0.3258952493639844,0.04381472469183658,0.04373958654531609,1.0059826803086025,-1.8746541166992041,-0.1133914676741524,0.02331559175838134,-0.08403173509048167,-0.05203553790865878,-0.06997753203761227,-0.13091176018485035,1.469498538920874,3,-0.7527710714444619,-0.7075348908469897,-0.46307645612052156,-0.43631019076777905,-0.9162260040649038,0.8227728540104877,6.5,2.0,6.0,,Unknown,,-0.11370635214149442,bull,-0.2552856449798867,0.65,0.95,0.459,0.05,0.17,0.0
BMY,2022-05-02,2022-05-24,63.626847301404666,64.74962175541266,0.0176,22,📈 모멘텀,★★★★★ (11.0),0.5239,Unknown,"장기보유(21일,+1.8%)",38.752045118852045,43.51,-0.0227,-0.0068,0.0129,52.35111181225173,38.856224758104936,-0.3353007452243959,0.30624699202483124,0.02037790388906075,2.6283797043036974,0.6525543848218527,0.17694759828459392,0.8999815419737506,-0.006336449788969967,0.03067235984856409,0.04168735224015203,0.10109730102959323,1.2077380942512193,4,0.08924882917771321,0.5362131366307031,0.5670663855835577,0.5917565644437106,-0.5995602243397908,0.17048096206498697,6.0,11.0,6.0,,Unknown,,0.09341020919563062,bear,0.14335328121714877,1.0,0.7,0.712,0.05,0.27,0.0
CCL,2022-05-25,2022-05-31,11.596395588827082,13.79622602261071,0.1897,6,📉 바닥반등,★★★★★ (6.0),0.4526,Unknown,목표가(+19.9%),214.49987123075886,471.86,-0.0058,-0.3131,-0.36,25.448618219103864,31.366699308428828,-0.1820283322452687,0.05859022915179893,0.08702920718556009,2.3732319105955093,-2.4682649772674026,-0.20101270333736787,0.0,-0.20914590761776253,-0.32799995138414484,-0.11654167770996811,-0.17518658617485608,1.7244466228577244,3,0.21608050948705607,-0.9654831917718145,-0.3047287468790864,-0.4778472140369045,-0.9841479205168471,0.9147869162649346,6.0,4.0,5.5,,Unknown,,-0.281683046472306,bear,-0.4219638428198824,0.6,0.95,0.461,0.05,0.11,0.0
F,2022-06-15,2022-06-17,9.327834721211575,8.579775074050819,-0.0802,2,📉 바닥반등,★★★★★ (6.5),0.476,Unknown,손절(-7.9%),291.96025812286945,-218.4,0.0712,-0.0036,0.1201,38.074771326108824,27.51639933058697,-0.04445961164022555,0.10606717225167148,0.04900724477302922,1.834851298307882,-0.650148970981288,-0.008267591642133986,0.029803884051694426,-0.11208143772294155,-0.06513411465600871,-0.06591034751300785,-0.10493836196804886,1.254726626352864,3,0.5824914879707745,-0.7201944897884645,-0.35025500381213137,-0.008590658005856344,-0.6905931143957946,0.7529594650577178,6.5,4.5,6.0,,Unknown,,-0.00016587638766933643,bear,-0.22575132098250517,0.65,0.95,0.51,0.05,0.17,0.0
NVDA,2022-07-06,2022-07-19,14.985887657126462,16.459518688005346,0.0983,13,📉 바닥반등,★★★★★ (6.5),0.4698,Information Technology,"시간익절(12일,+7.3%)",174.44113080956328,257.06,0.0029,0.1237,0.1452,38.52399531539797,20.85743837992629,-0.10975592729375327,0.18746274216852363,0.06363280765973839,1.691876671260706,-1.625037304137847,-0.09931319706854307,0.023412384786886644,-0.11292880208688416,-0.20047182594620117,-0.09005019574278857,-0.15335275688325095,1.1978891337736746,3,-0.5844627216096967,-0.960847850631543,-0.5213648847097114,-0.34357666450319435,-0.5781174237994128,0.7045959279646047,6.5,1.0,6.0,,Information Technology,,-0.06041519757446934,bear,-0.29356663389062265,0.65,0.95,0.469,0.05,0.17,0.0
LLY,2022-08-03,2022-08-05,310.6986439273907,293.1108590756009,-0.0566,2,📈 모멘텀,★★★★★ (8.0),0.4882,Unknown,손절(-4.6%),9.241163772790028,-162.53,0.0218,0.0706,-0.0005,46.90492791983645,15.228876365769553,-1.422693419502309,0.012246172818786535,0.02347871022935572,2.004601964561332,-1.080044782391734,0.019615480277150307,0.8985536347879847,-0.03426214564487018,-0.02133371450737831,0.02802980914493432,0.12237449132606687,0.9480078906892863,3,0.3618784780097983,0.2362992697549453,-0.028238974078423934,-0.005742879845914123,0.17159251539219195,0.5283628527043607,5.75,8.0,6.0,,Unknown,,-0.0943244030555176,bear,0.13648929902573018,0.8,0.85,0.558,0.2,0.22,0.05
VRTX,2022-08-19,2022-08-24,293.2300109863281,287.3500061035156,-0.0201,5,📈 모멘텀,★★★★★ (7.0),0.4055,Unknown,트레일링(-4.3%),4.618704346103065,-27.16,-0.0195,0.0057,-0.0035,54.60097100354176,18.968009516875316,1.0350534586300397,0.6570942784138726,0.025817969361023096,-1.18939642876825,-0.10461330470021114,0.053707814156782635,0.9125428737883765,0.007290542360739893,0.03949003486922642,0.027075471015390047,0.11281398269760701,1.1020472648691018,2,-0.3798329861153764,0.5431731601035843,0.452881470161079,0.005090231152478447,-0.3276180412719846,-0.3798329861153764,4.25,7.0,6.0,,Unknown,,-0.041490910773639825,neutral,0.1552483417105198,0.7,0.55,0.638,0.05,0.22,0.05
DG,2022-08-26,2022-08-29,230.5791721745285,220.0808562979287,-0.0455,3,📈 모멘텀,★★★★★ (9.0),0.5069,Unknown,손절(-4.0%),5.814765104117401,-61.05,0.0205,0.0227,0.0036,42.79932487629597,18.545061506524522,-1.2169679917791763,0.015020458468015498,0.021739927902500095,3.7424753802777806,-3.183407680586245,0.06985598155824846,0.8263248388395994,-0.04494282622446555,0.003793721660156235,0.016980480720618897,0.06419722102342405,0.9474127439235239,3,0.66131195217493,0.4709394233037807,-0.0017479106733397087,-0.004116047351771096,0.17351726856219266,0.66131195217493,6.75,9.0,6.0,,Unknown,,-0.036205192839014654,neutral,0.06262222696254151,0.9,0.65,0.607,0.2,0.27,0.05
