ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
QCOM,2022-04-04,2022-04-07,134.79839226479294,127.54478159602016,-0.0538,3,📉 바닥반등,★★★★★ (6.5),0.4826,Information Technology,트레일링(-9.4%),12.364143508423517,-89.68,-0.0206,-0.0499,0.0057,39.71731162638984,23.77442480753832,0.23623150890477884,0.18360927035039204,0.04631274103221657,2.2838536455405447,0.6132129426917108,0.09021703104640368,0.37603024956798725,-0.06950701011332694,-0.09410812118933387,-0.03385221553489719,0.02751715504614339,,4,-0.8575873033649544,-0.4992215074925827,-0.012627504510561029,0.4677243514730968,-0.997337621910267,0.6799212544035471,6.5,1.75,8.0,,Information Technology,,-0.1498730097616476,bull,-0.06306698757091453,0.65,0.95,0.521,0.05,0.21,0.0
PM,2022-03-21,2022-04-11,77.44112944232533,83.74348068636232,0.0814,21,📉 바닥반등,★★★★★ (6.5),0.4104,Consumer Staples,"시간익절(18일,+7.3%)",21.52172467871772,135.64,0.0169,0.0187,-0.0198,39.95298597748465,43.01674612918524,-0.4096052837313411,0.32817074152616593,0.02765387147662067,0.45552264269034215,0.6091362217977977,-0.2147116204707408,0.33615092923980905,0.05659932387836353,-0.16085798316368738,-0.02046819481233799,0.027760433916156187,,3,-0.6028080119208293,-0.43617949084679686,0.24324078050697512,-0.1563182301890959,-0.9899762154932261,0.5544907979757543,6.5,4.0,6.0,,Consumer Staples,,-0.1829720749250785,neutral,-0.024006824576536485,0.65,0.7,0.466,0.05,0.17,0.0
GM,2022-04-11,2022-04-27,37.3566785523327,36.85614820374727,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4652,Consumer Discretionary,트레일링(-9.6%),45.02499491017793,-22.54,0.0752,-0.0266,-0.0603,35.323651620665345,25.62790805471708,-0.3258949462955898,0.04381480269450371,0.04373958947344001,1.0059826803086025,-1.8746541166992068,-0.113391467674152,0.023315602017694354,-0.08403165059146289,-0.0520357189195878,-0.06997618861749239,-0.1285449362348327,1.4854803342033653,3,-0.8606892926649227,-0.7075355590366855,-0.4629960874869965,-0.4363101907677788,-0.9243725229550743,0.822772716922072,6.5,2.0,6.0,,Consumer Discretionary,,-0.10369878970429519,bull,-0.2532564237187983,0.65,0.95,0.458,0.05,0.17,0.0
NEM,2022-04-22,2022-05-10,63.410187652108874,62.057046292891236,-0.0213,18,📈 모멘텀,★★★★★ (9.0),0.4519,Materials,트레일링(-7.5%),53.050915758455226,-71.79,-0.0604,-0.0099,-0.0286,44.3144012111261,34.35759424283767,-0.5662051507923933,0.06824221290668543,0.035344572272422325,3.8792016793001087,-1.9496408451324108,-0.08257755749410998,0.7469996794263287,-0.08588358797755835,-0.02344435248962251,0.0666050037273834,0.15414235438485696,1.488992123954989,3,-0.41851250263244394,0.342740993146068,0.46517726007314514,-0.26066171573689545,-0.9260578425585598,0.6011211576106023,8.0,9.0,6.0,,Materials,,0.035648749885680286,bear,0.1788889971077281,0.9,0.65,0.539,0.05,0.27,0.0
BMY,2022-05-02,2022-05-24,63.62683198367763,64.74963692913386,0.0176,22,📈 모멘텀,★★★★★ (11.0),0.4961,Health Care,"장기보유(21일,+1.8%)",26.08094468239731,29.28,-0.0227,-0.0068,0.0129,52.351031178570466,38.85614758997759,-0.33530155068867007,0.30624343263245984,0.020377956112358698,2.628379704303693,0.6525543848218525,0.17694759828459436,0.8999803668967802,-0.006336747300234036,0.03067211044976803,0.041687371606543594,0.10117516656073378,1.211065320061053,4,-0.17275430042634327,0.5362115870906146,0.5670828338448305,0.5917565644437108,-0.6066169433433206,0.1704874584681222,6.0,11.0,6.0,,Health Care,,0.08046070043976607,bear,0.14343392538254401,1.0,0.7,0.656,0.05,0.27,0.0
F,2022-06-15,2022-06-17,9.327834721211575,8.579775074050819,-0.0802,2,📉 바닥반등,★★★★★ (6.5),0.459,Consumer Discretionary,손절(-7.9%),266.9920181331117,-199.73,0.0712,-0.0036,0.1201,38.07478029421313,27.51634184148059,-0.04445958690017543,0.1060673562299372,0.049007233484443205,1.8348512983078789,-0.6501489709812956,-0.008267591642133464,0.029803982374520716,-0.11208159919851302,-0.06513411465600871,-0.06591018165327807,-0.10380214729775379,1.25472597023118,3,0.23421663446297922,-0.7201945230274557,-0.35015314867261266,-0.008590658005856705,-0.6905919703777823,0.7529592105517453,6.5,4.5,6.0,,Consumer Discretionary,,0.011525856276375826,bear,-0.22476834207811988,0.65,0.95,0.51,0.05,0.17,0.0
MPC,2022-06-17,2022-06-24,84.46275572412945,79.08604128694726,-0.0637,7,📈 모멘텀,★★★★★ (9.5),0.4535,Unknown,손절(-7.8%),28.303533540828386,-152.18,-0.0165,-0.0264,0.0338,36.76537081016718,33.70281637160652,-1.6764302349362712,0.04382963594197536,0.04416488205966821,2.5956281022928454,-1.6077816947196117,-0.1228190064593126,0.6634110728631755,-0.17403022277149627,-0.043966380712138986,0.06178176361172821,0.21937024187745366,1.5309351574786247,3,0.6545766565260269,0.26561978008444725,0.3498133977717839,-0.3277939635245942,-0.9435857298218681,0.7981241487041302,6.75,9.5,6.0,,Unknown,,0.02916176204883328,bear,0.1715231275497907,0.95,0.65,0.53,0.05,0.22,0.0
NVDA,2022-07-06,2022-07-19,14.985889549347426,16.459518688005346,0.0983,13,📉 바닥반등,★★★★★ (6.5),0.4549,Information Technology,"시간익절(12일,+7.3%)",154.44558184291162,227.6,0.0029,0.1237,0.1452,38.523991752293846,20.857427408312283,-0.10975613387785965,0.1874622507601535,0.06363282049475368,1.691876671260706,-1.625037304137857,-0.09931319706854236,0.023412428374617718,-0.11292895917296553,-0.20047187698310265,-0.09005025928304261,-0.15414221969653277,1.1978896262490195,3,0.31204584469204294,-0.9608478724953153,-0.5213713927015742,-0.34357666450319424,-0.578118516732894,0.7045962946868329,6.5,3.0,6.0,,Information Technology,,-0.09310315949105347,bear,-0.29422546166704344,0.65,0.95,0.469,0.05,0.17,0.0
WMT,2022-07-27,2022-08-12,38.567961667000695,41.53473901135159,0.0769,16,📉 바닥반등,★★★★★ (6.0),0.451,Consumer Staples,"시간익절(15일,+7.5%)",62.9616417564169,186.79,0.054,0.0123,0.0621,38.053694424836436,26.68693558966435,0.08634110018514776,0.18432415472196223,0.024977870365411648,4.298062274041683,-0.7611894417220698,0.2086333734714919,0.0899978006088102,-0.05850553684159476,-0.017241344329617214,-0.013421712372573865,-0.05513092446267326,1.3854917195961054,3,0.5022101421507399,-0.4348907158212586,-0.2653790616745313,0.3869426945216666,-0.8578041004977475,0.7163232393115375,6.0,4.0,6.0,,Consumer Staples,,-0.018055347459126427,bear,-0.10660694317660503,0.6,0.95,0.53,0.05,0.17,0.0
MRNA,2022-09-02,2022-09-07,140.36000061035156,129.67999267578125,-0.0761,5,📉 바닥반등,★★★★★ (6.5),0.4978,Health Care,손절(-7.3%),17.965935885939142,-191.88,0.075,-0.0302,-0.0313,38.63890008779985,21.443347950286615,-2.455887683313601,0.2654889551605729,0.058032650708883235,2.024147140251667,-0.8716023990038547,-0.259508984663321,0.06440567505860992,-0.021823344152876234,-0.2844268092014792,-0.03204196262156901,-0.12814004959078512,0.7745255133491051,3,0.6459083084594375,-0.47440146630814267,-0.7239940193526807,-0.34571693662762093,0.6360915780124247,0.6459083084594375,6.5,3.0,6.0,,Health Care,,-0.250341078519295,bear,-0.21495279610177992,0.65,0.7,0.623,0.35,0.17,0.0
