ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,defer_count,last_defer_date,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
HD,2022-03-01,2022-03-24,282.44642007954934,286.46317557202605,0.0142,23,📉 바닥반등,★★★★★ (6.0),0.4637,Consumer Cyclical,트레일링(-7.0%),8.851236278002355,35.55,1,2022-03-17,-0.0562,-0.0454,-0.0537,27.42872487853485,41.39175112485753,-2.9422722285329783,0.11583965823534206,0.03302080883841525,0.09767751854699715,-1.619192112392015,-0.04542153771898049,0.1374482687090879,-0.08948593016006656,-0.13834772853917443,-0.05133495493395861,0.016180417144929588,,2,-0.23559984878504986,-0.6816181011718432,-0.18012943981675614,-0.3624688210243712,-0.9959329546387371,0.8837840393228668,6.0,1.0,6.0,,Consumer Cyclical,,-0.12087792217700769,bear,-0.10859090236466351,0.6,0.75,0.482,0.3,0.12,0.0
MA,2022-03-10,2022-04-05,313.88823717362004,354.2235474652264,0.1285,26,📉 바닥반등,★★★★★ (7.5),0.5005,Financial Services,"시간익절(25일,+14.0%)",7.964618306538141,321.26,2,2022-03-28,-0.0469,0.0068,0.0157,36.21341298853054,31.580958498143918,-5.386417104146564,0.15983980895903974,0.04286323963288678,-0.6441061698806606,-1.2961670077601528,-0.13861932682335587,0.24486704326260678,-0.04638316944183496,-0.1235143135988156,-0.021248256432963356,-0.007862986531949993,,2,-0.28263811172821185,-0.4770840661442719,-0.28573779118740117,-0.5357627198905554,-0.993637971540448,0.7645631772091439,7.5,4.0,6.0,,Financial Services,,-0.08867035116865411,bear,-0.0887100869255575,0.75,0.7,0.45,0.3,0.27,0.0
PEP,2022-03-21,2022-04-19,142.8095428725546,149.47174055225491,0.0467,29,📈 모멘텀,★★★★★ (6.5),0.4725,Consumer Defensive,"시간익절(28일,+5.0%)",0.0,0.0,2,2022-04-11,0.0204,-0.0109,0.0272,50.575293381711575,34.3940924946327,0.3857690684224915,0.5802920545457205,0.022007310960292025,3.342544321943169,0.9713206503048631,0.10600191923508365,0.6793503499016722,0.058934242181144514,-0.017327153905391635,-0.01780372422537458,0.03222307137838027,,4,0.027325011564498885,-0.11081051112485604,0.38066503528269985,0.594696633197807,-0.9838320774195748,-0.138726199767927,3.25,6.5,6.0,,Consumer Defensive,,-0.039441240150049545,neutral,0.02228111986026483,0.65,0.7,0.514,0.3,0.12,0.0
GM,2022-04-11,2022-04-27,37.35668222325756,36.856144425558895,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4854,Consumer Cyclical,트레일링(-9.6%),71.6981311491877,-35.89,0,,0.0752,-0.0266,-0.0603,35.32366484578145,25.627875391882785,-0.32589440809440373,0.04381484783717728,0.04373957076353361,1.0059826803086025,-1.8746541166992088,-0.113391467674152,0.023315735011664174,-0.08403172733846875,-0.05203571395155715,-0.0699750194410628,-0.1267181530110672,,3,-0.3156611578701583,-0.7075355037473481,-0.46292971586856807,-0.43631019076777894,-0.9136337679903224,0.8227724947175898,6.5,2.0,6.0,,Consumer Cyclical,,-0.1036987997920461,bull,-0.25169009631714234,0.65,0.95,0.459,0.15,0.17,0.0
BAC,2022-04-19,2022-04-27,35.39136437927701,32.73768381856518,-0.075,8,📉 바닥반등,★★★★★ (6.0),0.4868,Financial Services,손절(-7.0%),75.67960004700913,-200.83,0,,0.0648,-0.0193,-0.0119,36.99654471287864,23.376917357391708,-0.20492904381622357,0.2123245811908009,0.03235489459075106,2.243637205596483,-1.2904209402631068,-0.22775288747853284,0.19308405199770523,-0.020670590325911453,-0.09440554962604686,-0.04137125348151965,-0.016653552552234094,1.3938907925895228,3,-0.2962327850192994,-0.6812105128183965,-0.3872190768511756,-0.3868478082216601,-0.8650248057326928,0.7195940291496701,6.0,1.0,8.0,,Financial Services,,-0.024329653469254878,bear,-0.09484714035326319,0.6,0.8,0.453,0.3,0.21,0.0
NVDA,2022-04-29,2022-05-06,19.36674191148043,18.701947924887726,-0.0343,7,📉 바닥반등,★★★★★ (6.0),0.4838,Technology,트레일링(-7.3%),132.18773498232133,-87.88,0,,-0.055,-0.109,0.0027,38.10088547050979,30.489604050126808,-0.35785036946843807,0.2581849220172495,0.06658686605835784,0.17124155017787812,-1.085626550529022,-0.27758390830985474,0.31081331564036324,-0.019867979780871403,-0.28559040716707684,-0.07280010686689285,-0.007282835333254662,1.9235283357411637,2,-0.3519496669327201,-0.7189186434614968,-0.3113259602539897,-0.5169206857729204,-0.9957711494265207,0.6634754883379268,6.0,1.0,6.5,,Technology,,-0.18191496271867674,bear,-0.16169354487190776,0.6,0.7,0.418,0.4,0.18,0.0
FCX,2022-05-10,2022-05-13,34.64084284939915,32.881842040016174,-0.0508,3,📉 바닥반등,★★★★★ (6.0),0.5197,Basic Materials,트레일링(-6.3%),71.36570396672994,-125.53,0,,0.0443,0.1404,0.069,25.514507339819602,30.31605878420066,-0.6959198327322904,0.056248525136242164,0.06032812054410542,1.5281796978918938,-1.867806317930091,-0.24493226094893206,0.2459519696160323,-0.1159779430964657,-0.2723840351884844,-0.04434597384548495,0.06685579604695074,1.4524685850546677,3,-0.17716982544817106,-0.6082188357821956,0.11205351923758439,-0.4998601284808351,-0.9066241930556078,0.9151094946965055,6.0,2.0,5.5,,Basic Materials,,-0.05582174833967429,bear,-0.14630988430464903,0.6,0.85,0.507,0.4,0.11,0.0
BMY,2022-05-02,2022-05-24,63.62684347197291,64.74962175541266,0.0176,22,📈 모멘텀,★★★★★ (11.0),0.5712,Healthcare,"장기보유(21일,+1.8%)",40.2353096204351,45.18,0,,-0.0227,-0.0068,0.0129,52.351019480241135,38.856340133935646,-0.3353012462170619,0.306243395873182,0.020377948514163195,2.6283797043036965,0.6525543848218521,0.176947598284596,0.8999807103822074,-0.006336806575670928,0.03067217422285018,0.04168615786362155,0.09713099637408486,1.2021996899558587,4,0.31436161604565127,0.5362119490998848,0.5661156942453839,0.591756564443712,-0.5876042440086771,0.17048791433485536,6.0,11.0,6.0,,Healthcare,,0.08046077452515973,bear,0.1392332010780326,1.0,0.7,0.657,0.3,0.27,0.0
UNH,2022-05-16,2022-06-14,451.5436803281231,434.88319351535006,-0.0369,29,📉 바닥반등,★★★★★ (7.2),0.4626,Healthcare,트레일링(-7.4%),5.196918719365844,-86.58,0,,0.0512,0.1071,0.0785,38.86882902592703,29.202365405198385,-3.6899288314066903,0.19333563868723563,0.028852747575036378,-1.1417506018574852,-1.4290024629986644,-0.14476165611086436,0.6244647236442393,-0.028461525985612912,-0.0924049150631755,-0.00323996811119803,0.07497881251676937,1.5639524219662488,2,-0.16832015616991916,-0.2512567162603494,0.17880836966192867,-0.5974868385622607,-0.9544780048755795,0.6935646176083353,7.25,3.25,6.0,,Healthcare,,-0.024799383009967313,bear,0.03536426620284212,0.725,0.7,0.471,0.4,0.17,0.05
COST,2022-05-24,2022-06-14,405.7217104973008,431.9388944362857,0.0646,21,📉 바닥반등,★★★★★ (6.0),0.4923,Consumer Defensive,트레일링(-4.3%),6.421202049902186,168.35,1,2022-06-06,0.017,0.0389,0.132,25.96919553608444,45.344527173697195,-8.430423217752768,0.10019021124535454,0.04396829353157901,0.1830023397950202,-1.805739986386837,-0.2199500726747087,0.2323466577198673,-0.13153906471700172,-0.24292306596997548,-0.05916367624739289,0.03622605924055567,2.4027706660861776,2,-0.28910440946099775,-0.7716901275164345,-0.08944266019664468,-0.5864521953765501,-0.9998263977968537,0.8985457829764181,6.0,1.0,6.0,,Consumer Defensive,,-0.11378957054112573,bear,-0.1450301405332609,0.6,0.75,0.468,0.4,0.12,0.0
